Complaint No,Customer ID,Customer Name,Complaint Description,Complaint Type,Equipment Type,Priority Type,Complaint Date,Assigned Date,WIPDate Time,WIPAge,Close Date,Vendor Name,Resolution Type,Complaint Age,PORelease Date,PORelease Age,Material Delivery Date,MTDAge,Work Closer Date,Comment Date,Comments,WIP Vendor Enginner  log Date,WEAge
MAFIL_477778,2175,HIG ASHOK NAGAR,BH 357321// Wireless Panic Switch BH Not Working,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/01/2023 10:37:50,04/04/2023 10:24:17,,,04/05/2023 17:30:05,Enseigner Pvt Ltd,close,0,,,,,,04/05/2023 17:30:05,517617050411 Closed W/L Panic Switch added |BH 357321,,
MAFIL_477779,0239,OLD PET KRISHNAGIRI,Grill gate Auto lock buzzer not working,buzzer not working,GRILL GATE AUTO LOCK,Class A,04/01/2023 10:54:37,,,,,Not Assigned,Open,0,,,,,,04/01/2023 10:54:37,Grill gate Auto lock buzzer not working,,
MAFIL_477780,0239,OLD PET KRISHNAGIRI,Alarm Panel button not working,alaram panel board not working,Alarm Panel,Class A,04/01/2023 10:58:19,04/04/2023 10:17:05,,,04/05/2023 14:43:03,Zubaid Infotech,close,1,,,,,,04/01/2023 10:58:19,Alarm Panel button not working,,
,,,,,,,,,,,,,,,,,,,,04/05/2023 14:43:03,517132040509 Closed BH 359231 // keypad cleaned,,
MAFIL_477782,2003,PUNNALA,not in network,OutSide Camera Not In network,CCTV,Class B,04/01/2023 11:12:27,04/01/2023 11:18:33,,,04/01/2023 11:18:33,MX Electronics Pvt Ltd,close,0,,,,,,04/01/2023 11:18:33,516122010407  BH 336868 outside camera network switch port changed.,,
MAFIL_477783,2551,VENKATAPURA BANGALORE,"wired panic automatically working
zone 3 disabled",Panic Switch Wired BH Cabin Not Working,Alarm Panel,Class B,04/01/2023 11:17:50,04/03/2023 09:20:22,,,04/08/2023 17:50:40,CHUBB SYSTEMS PRIVATE LIMITED,close,0,,,,,,04/08/2023 17:50:40,"517131080410  Panic Switch Wired BH Cabin Working, resistor replaced BH-375144",,
MAFIL_477786,1122,PATAMATA CENTRE,"ABH 387768// renovation wire cut //Alarm Panel Not In network

Renovation Completed | All alerts And Cameras working fine | BH 334604",Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 11:33:39,04/04/2023 10:18:50,,,05/08/2023 12:58:42,Enseigner Pvt Ltd,close,34,,,,,,05/08/2023 12:58:42,"Renovation Completed | All alerts And Cameras working fine | BH 334604

clousure id: DYC-2065",,
MAFIL_477787,1122,PATAMATA CENTRE,not in network,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 11:34:40,,,,04/01/2023 11:35:59,Not Assigned,close,0,,,,,,04/01/2023 11:35:59,mafil closed \\ duplicate complaint,,
MAFIL_477788,2493,VIDHYARANYAPURA,zone 03 disabled.,Panic Switches Not Working,Alarm Panel,Class B,04/01/2023 11:40:12,04/04/2023 10:24:59,,,04/10/2023 10:44:18,CHUBB SYSTEMS PRIVATE LIMITED,close,5,,,,,,04/10/2023 10:44:18,516122100404  ABH 376664 panic switch washroom wire reconnected.,,
MAFIL_477789,0415,NUZVID,not in network,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 11:43:17,04/04/2023 10:19:34,,,04/08/2023 11:58:29,Enseigner Pvt Ltd,close,4,,,,,,04/08/2023 11:58:29,703482080414  BH 365984//net work cable reconnected,,
MAFIL_477790,0950,JUBILEEBAUG,wireless panic switches key totally broken by engineer so not reles the alram,Wireless Panic Switches Not Working,Alarm Panel,Class B,04/01/2023 11:52:07,04/03/2023 17:09:54,,,04/06/2023 10:55:55,Techsis Ltd,close,0,,,,,,04/01/2023 11:52:07,as early as possible solve our problem,,
,,,,,,,,,,,,,,,,,,,,04/06/2023 10:55:55,516122060410  BH 362815 wireless panic switch working properly.,,
MAFIL_477791,0668,KHAIRATHABAD CENTRE,Panic Switch Wired BH Cabin Not Working,Panic Switch Wired BH Cabin Not Working,Alarm Panel,Class B,04/01/2023 11:57:32,04/03/2023 17:10:30,,,04/04/2023 14:59:26,Enseigner Pvt Ltd,close,0,,,,,,04/04/2023 14:59:26,516122040437  BH 344096 panic switches working properly.,,
MAFIL_477792,0950,JUBILEEBAUG,"gl couter switche not working
All panic switches not working",Panic Switches Not Working,Alarm Panel,Class B,04/01/2023 11:58:06,04/03/2023 17:11:39,,,04/06/2023 10:56:55,Techsis Ltd,close,0,,,,,,04/06/2023 10:56:55,516122060411  BH 362815 panic switch GL1 wire reconnected.,,
,,,,,,,,,,,,,,,,,,,,04/01/2023 11:58:06,as early as possible do the needfull help,,
MAFIL_477793,0950,JUBILEEBAUG,cash cabin panic switch not working,Panic Switches Not Working,Alarm Panel,Class B,04/01/2023 12:01:48,,,,04/03/2023 17:12:25,Not Assigned,close,0,,,,,,04/01/2023 12:01:48,do needfull help,,
,,,,,,,,,,,,,,,,,,,,04/03/2023 17:12:25,REF MAFIL_477792,,
MAFIL_477794,0950,JUBILEEBAUG,bh cabin panic switch not working,Panic Switch Wired BH Cabin Not Working,Alarm Panel,Class B,04/01/2023 12:06:04,,,,04/03/2023 17:13:05,Not Assigned,close,0,,,,,,04/03/2023 17:13:05,REF MAFIL_477792,,
,,,,,,,,,,,,,,,,,,,,04/01/2023 12:06:04,as early as possible do need full help,,
MAFIL_477796,0748,JPN ROAD WARANGAL,alarm panel not in network,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 12:24:43,04/04/2023 10:20:22,,,04/06/2023 11:41:45,Enseigner Pvt Ltd,close,2,,,,,,04/06/2023 11:41:45,516953060404 Closed BH 339461//  cable re connected now alert ok,,
MAFIL_477797,0863,VELACHERY,Wireless panic switch not working continous alert and call coming,Wireless Panic Switch BH Not Working,Alarm Panel,Class B,04/01/2023 12:28:32,04/03/2023 17:13:44,,,04/04/2023 13:06:22,Zubaid Infotech,close,0,,,,,,04/04/2023 13:06:22,513507040409 Closed BH351227 /2 new  wrieless bAttery changed,,
MAFIL_477798,2160,CHALLAPALLI,alarm panel not in network,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 12:30:07,04/04/2023 10:25:50,,,04/05/2023 11:14:36,Enseigner Pvt Ltd,close,1,,,,,,04/05/2023 11:14:36,703482050411  BH 384231// lan cable reconnected,,
MAFIL_477799,0950,JUBILEEBAUG,wash room panic switch not working,Panic Switch Wired Washroom Cabin Not Working,Alarm Panel,Class B,04/01/2023 12:32:59,,,,04/03/2023 17:14:35,Not Assigned,close,0,,,,,,04/01/2023 12:32:59,as early as possible do the need full help,,
,,,,,,,,,,,,,,,,,,,,04/03/2023 17:14:35,REF MAFIL_477792,,
MAFIL_477802,3909,RADHANPUR,Shutter Sensor automatic ringing|BH377924,Shutter Sensor Not Working,Alarm Panel,Class A,04/01/2023 12:37:55,04/03/2023 09:21:02,,,04/05/2023 15:39:58,Techsis Ltd,close,2,,,,,,04/05/2023 15:39:58,703482050433   BH377924// new sencer installed,,
MAFIL_477804,3909,RADHANPUR,Zone 17 & 18 Battery Fault,Wireless Panic Switches Not Working,Alarm Panel,Class B,04/01/2023 12:42:50,04/03/2023 09:22:07,,,04/08/2023 13:59:00,Techsis Ltd,close,0,,,,,,04/08/2023 13:59:00,517617080413 Closed Battery Replaced | ABH 385099,,
MAFIL_477806,2665,KALAKAD TIRUNELVELI,out side camera sd card issue,OutSide Camera SD Card Failure,CCTV,Class B,04/01/2023 12:53:40,04/01/2023 12:55:25,,,04/01/2023 12:55:25,Zubaid Infotech,close,0,,,,,,04/01/2023 12:55:25,812907040118  sd card replaced \  bh 364786,,
MAFIL_477808,2116,BALAPUR X ROAD,BH 368719//Panic Switch Wired GL Cabin Not Working,Panic Switch Wired GL Cabin Not Working,Alarm Panel,Class B,04/01/2023 13:07:08,04/04/2023 10:26:40,,,04/05/2023 13:46:56,Enseigner Pvt Ltd,close,0,,,,,,04/05/2023 13:46:56,515916050407  Bh 367724 Key released,,
MAFIL_477811,0256,TADEPALLIGUDAM,entrance camera position not proper,Entrance Camera Settings Issue,CCTV,Class B,04/01/2023 13:16:42,04/03/2023 17:15:04,,,04/04/2023 12:18:52,Enseigner Pvt Ltd,close,0,,,,,,04/01/2023 13:16:42,entrance camera position not proper,,
